,study,MAT,MAP,AI,BD,sand,clay,SOC,CN,pH,soil.biodiversity,MBC,FBratio,cropland.type,Nrate,OF2,tillage,irrigation,type,application,richness,duration,cover.days,terminate.time,yield,SOCrr,N2O,CH4,MWD,AMS,climate,soil,microbe,agriculture,CC,type
16,28,17.05,1475,1.1766,1.107,14.25,36,13.3,9.109589041,5.4,0.459406704,70.47419739,2.852268696,paddy,150,1,1,3,1,1,1,9,176,15,0.061070987,0.090893189,0.839733723,0.585888877,0.136519882,-0.069760223,0.094205633,-0.131411293,0.041340528,0.00640253,0.004662396,non-legume
17,33,13.13333321,1389,1.1624,1.2116,36.95833333,19.08333333,9.8,6.481481481,6.6,0.522622585,95.03320313,1.982795477,paddy,110,1,1,2,2,1,1,1,211,15,0.076934932,0.079189869,-0.051486161,0.627063238,-0.048606691,-0.041539807,0.082118879,-0.092112825,0.043429896,0.009645673,-0.017999489,non-legume
18,33,13.13333321,1389,1.1624,1.2116,36.95833333,19.08333333,9.8,6.481481481,6.6,0.522622585,95.03320313,1.982795477,paddy,110,1,1,2,1,1,1,1,211,15,0.168401893,0.077462214,0.127339037,0.593635974,-0.054710599,-0.018077011,0.082118879,-0.092112825,0.043429896,0.009645673,-0.008828992,mixture
19,33,13.13333321,1389,1.1624,1.2116,36.95833333,19.08333333,9.8,6.481481481,6.6,0.522622585,95.03320313,1.982795477,paddy,110,1,1,2,2,1,1,2,211,15,0.068583347,0.07724392,-0.082933346,0.631907857,0.049806104,-0.03325839,0.082118879,-0.092112825,0.043429896,0.009645673,-0.017183253,mixture
20,33,13.13333321,1389,1.1624,1.2116,36.95833333,19.08333333,9.8,6.481481481,6.6,0.522622585,95.03320313,1.982795477,paddy,110,1,1,2,1,1,1,2,211,15,0.181014381,0.075254882,0.079771836,0.5867135,0.039330582,-0.000681281,0.082118879,-0.092112825,0.043429896,0.009645673,-0.008012755,mixture
21,35,13.2,1515.5,1.3346,1.28,38.375,21.25,14,12.68115942,6.5,0.473522007,173.9660034,1.645665169,paddy,90,1,1,2,2,1,1,4,212,1,0.016582973,0.291851288,-0.60758414,0.926400394,0.152358433,0.02367885,0.092010162,-0.095207875,0.060247295,0.011136533,-0.016635093,mixture
22,35,13.2,1515.5,1.3346,1.28,38.375,21.25,14,12.68115942,6.5,0.473522007,173.9660034,1.645665169,paddy,90,1,1,2,1,1,1,4,212,1,0.091021404,0.291199143,-0.23956761,0.925518304,0.144446609,0.025573631,0.092010162,-0.095207875,0.060247295,0.011136533,-0.007464596,legume
23,35,13.2,1515.5,1.3346,1.28,38.375,21.25,14,12.68115942,6.5,0.473522007,173.9660034,1.645665169,paddy,90,1,1,2,3,1,2,4,212,1,0.1892796,0.313220772,-0.204964307,1.015121971,0.143920517,0.050629669,0.092010162,-0.095207875,0.060247295,0.011136533,0.015509056,legume
24,37,17.8125,1375,1.1817,1.282,32.875,27.375,11.65893271,12.4031199,6.5,0.528078139,74.45760345,2.794022322,paddy,70.38,1,1,2,2,1,1,36,165,15,0.131708145,0.088423796,-0.63469165,0.457772112,0.196789112,0.066140893,0.105347969,-0.109117204,0.043100972,0.012599067,0.019718188,legume
25,37,17.8125,1375,1.1817,1.282,32.875,27.375,11.65893271,12.4031199,6.5,0.528078139,74.45760345,2.794022322,paddy,70.38,1,1,2,1,1,1,36,165,15,0.159983977,0.09030237,-0.38060525,0.33789529,0.194798725,0.078612435,0.105347969,-0.109117204,0.043100972,0.012599067,0.028888686,legume
26,37,17.8125,1375,1.1817,1.282,32.875,27.375,11.65893271,12.4031199,6.5,0.528078139,74.45760345,2.794022322,paddy,70.38,1,1,2,2,1,1,36,165,15,0.131708145,0.088423796,-0.63469165,0.457772112,0.196789112,0.066140893,0.105347969,-0.109117204,0.043100972,0.012599067,0.019718188,legume
27,35,13.2,1515.5,1.3346,1.322,38.375,21.08333333,11.83294664,14.97841347,6.2,0.473522007,173.9660034,1.645665169,paddy,90,1,1,2,3,1,2,1,214,8,0.250598693,0.405952057,0.590130974,1.29421476,-0.09905046,-0.011147045,0.092010162,-0.092505964,0.060247295,0.011136533,0.013105253,non-legume
28,35,13.2,1515.5,1.3346,1.322,38.375,21.08333333,11.83294664,14.97841347,6.2,0.473522007,173.9660034,1.645665169,paddy,90,1,1,2,3,1,2,1,214,8,0.250598693,0.405952057,0.590130974,1.29421476,-0.09905046,-0.011147045,0.092010162,-0.092505964,0.060247295,0.011136533,0.013105253,non-legume
29,35,13.2,1515.5,1.3346,1.322,38.375,21.08333333,11.83294664,14.97841347,6.2,0.473522007,173.9660034,1.645665169,paddy,90,1,1,2,3,1,2,1,214,8,0.250598693,0.405952057,0.590130974,1.29421476,-0.09905046,-0.011147045,0.092010162,-0.092505964,0.060247295,0.011136533,0.013105253,mixture
30,35,13.2,1515.5,1.3346,1.322,38.375,21.08333333,11.83294664,14.97841347,6.2,0.473522007,173.9660034,1.645665169,paddy,90,1,1,2,3,1,2,1,214,8,0.250598693,0.405952057,0.590130974,1.29421476,-0.09905046,-0.011147045,0.092010162,-0.092505964,0.060247295,0.011136533,0.013105253,mixture
31,33,13.13333321,1389,1.1624,1.2,36.95833333,19.08333333,8.99071926,6.352069563,6.6,0.522622585,95.03320313,1.982795477,paddy,110,1,1,2,2,1,1,2,232,8,0.211936905,0.085976454,-0.081991334,0.653598835,0.049642981,0.014220871,0.082118879,-0.090942671,0.043429896,0.009645673,-0.021802856,mixture
32,33,13.13333321,1389,1.1624,1.2,36.95833333,19.08333333,8.99071926,6.352069563,6.6,0.522622585,95.03320313,1.982795477,paddy,110,1,1,2,1,1,1,2,232,8,0.258060319,0.083664496,0.075326139,0.618110049,0.038925026,0.023483028,0.082118879,-0.090942671,0.043429896,0.009645673,-0.012632358,mixture
33,35,13.2,1515.5,1.3346,1.4,38.375,21.25,9,12.85714286,6.9,0.473522007,173.9660034,1.645665169,paddy,90,1,1,2,3,1,2,1,232,10,0.248525739,0.281848627,0.285762775,1.267476965,-0.058406556,-0.029071763,0.092010162,-0.097868587,0.060247295,0.011136533,0.009651544,non-legume
34,35,13.2,1515.5,1.3346,1.4,38.375,21.25,9,12.85714286,6.9,0.473522007,173.9660034,1.645665169,paddy,90,1,1,2,3,1,2,1,232,10,0.248525739,0.281848627,0.285762775,1.267476965,-0.058406556,-0.029071763,0.092010162,-0.097868587,0.060247295,0.011136533,0.009651544,non-legume
35,35,13.2,1515.5,1.3346,1.4,38.375,21.25,9,12.85714286,6.9,0.473522007,173.9660034,1.645665169,paddy,90,1,1,2,3,1,2,1,232,10,0.248525739,0.281848627,0.285762775,1.267476965,-0.058406556,-0.029071763,0.092010162,-0.097868587,0.060247295,0.011136533,0.009651544,legume
36,35,13.2,1515.5,1.3346,1.4,38.375,21.25,9,12.85714286,6.9,0.473522007,173.9660034,1.645665169,paddy,90,1,1,2,3,1,2,1,232,10,0.248525739,0.281848627,0.285762775,1.267476965,-0.058406556,-0.029071763,0.092010162,-0.097868587,0.060247295,0.011136533,0.009651544,non-legume
37,35,13.2,1515.5,1.3346,1.39,39,23,7.1,10.44117647,7,0.473522007,173.9660034,1.645665169,paddy,90,1,1,2,3,1,2,1,232,10,0.223927351,0.098338056,0.319965314,0.95730332,-0.038666306,-0.05585121,0.092010162,-0.102241044,0.060247295,0.011136533,0.009651544,non-legume
38,35,13.2,1515.5,1.3346,1.39,39,23,7.1,10.44117647,7,0.473522007,173.9660034,1.645665169,paddy,90,1,1,2,3,1,2,1,232,10,0.223927351,0.098338056,0.319965314,0.95730332,-0.038666306,-0.05585121,0.092010162,-0.102241044,0.060247295,0.011136533,0.009651544,non-legume
39,35,13.2,1515.5,1.3346,1.39,39,23,7.1,10.44117647,7,0.473522007,173.9660034,1.645665169,paddy,90,1,1,2,3,1,2,1,232,10,0.223927351,0.098338056,0.319965314,0.95730332,-0.038666306,-0.05585121,0.092010162,-0.102241044,0.060247295,0.011136533,0.009651544,non-legume
40,35,13.2,1515.5,1.3346,1.39,39,23,7.1,10.44117647,7,0.473522007,173.9660034,1.645665169,paddy,90,1,1,2,3,1,2,1,232,10,0.223927351,0.098338056,0.319965314,0.95730332,-0.038666306,-0.05585121,0.092010162,-0.102241044,0.060247295,0.011136533,0.009651544,non-legume
41,35,13.2,1515.5,1.3346,1.4,38.375,21.25,9,12.85714286,6.9,0.473522007,173.9660034,1.645665169,paddy,90,1,1,2,3,1,2,2,233,10,0.268210981,0.283064999,0.23731086,1.257088878,0.077706503,-0.003024806,0.092010162,-0.097868587,0.060247295,0.011136533,0.010268881,non-legume
42,35,13.2,1515.5,1.3346,1.4,38.375,21.25,9,12.85714286,6.9,0.473522007,173.9660034,1.645665169,paddy,90,1,1,2,3,1,2,2,233,10,0.268210981,0.283064999,0.23731086,1.257088878,0.077706503,-0.003024806,0.092010162,-0.097868587,0.060247295,0.011136533,0.010268881,legume
43,35,13.2,1515.5,1.3346,1.4,38.375,21.25,9,12.85714286,6.9,0.473522007,173.9660034,1.645665169,paddy,90,1,1,2,3,1,2,2,233,10,0.268210981,0.283064999,0.23731086,1.257088878,0.077706503,-0.003024806,0.092010162,-0.097868587,0.060247295,0.011136533,0.010268881,non-legume
44,35,13.2,1515.5,1.3346,1.4,38.375,21.25,9,12.85714286,6.9,0.473522007,173.9660034,1.645665169,paddy,90,1,1,2,3,1,2,2,233,10,0.268210981,0.283064999,0.23731086,1.257088878,0.077706503,-0.003024806,0.092010162,-0.097868587,0.060247295,0.011136533,0.010268881,non-legume
45,35,13.2,1515.5,1.3346,1.39,39,23,7.1,10.44117647,7,0.473522007,173.9660034,1.645665169,paddy,90,1,1,2,3,1,2,2,233,10,0.251704624,0.099072779,0.308562344,0.9406206,0.056782059,-0.032931909,0.092010162,-0.102241044,0.060247295,0.011136533,0.010268881,non-legume
46,35,13.2,1515.5,1.3346,1.39,39,23,7.1,10.44117647,7,0.473522007,173.9660034,1.645665169,paddy,90,1,1,2,3,1,2,2,233,10,0.251704624,0.099072779,0.308562344,0.9406206,0.056782059,-0.032931909,0.092010162,-0.102241044,0.060247295,0.011136533,0.010268881,non-legume
47,35,13.2,1515.5,1.3346,1.39,39,23,7.1,10.44117647,7,0.473522007,173.9660034,1.645665169,paddy,90,1,1,2,3,1,2,2,233,10,0.251704624,0.099072779,0.308562344,0.9406206,0.056782059,-0.032931909,0.092010162,-0.102241044,0.060247295,0.011136533,0.010268881,non-legume
48,35,13.2,1515.5,1.3346,1.39,39,23,7.1,10.44117647,7,0.473522007,173.9660034,1.645665169,paddy,90,1,1,2,3,1,2,2,233,10,0.251704624,0.099072779,0.308562344,0.9406206,0.056782059,-0.032931909,0.092010162,-0.102241044,0.060247295,0.011136533,0.010268881,non-legume
49,82,12.17916679,1154,1.0959,0.8,32.16666667,25.16666667,33.7,14.11222781,6.5,0.653862834,145.3399963,1.946324825,paddy,50,1,2,1,1,1,1,2,157,20,-0.011934315,0.0859773,0.22297984,0.2570439,-0.035976731,-0.028911938,0.087919322,-0.092618407,0.057803809,0.000361715,0.003044055,legume
50,82,12.17916679,1154,1.0959,0.8,32.16666667,25.16666667,33.7,14.11222781,6.5,0.653862834,145.3399963,1.946324825,paddy,50,1,2,1,2,1,1,2,157,20,-0.01780123,0.11184819,0.06034504,0.26270268,-0.012530438,-0.010383544,0.087919322,-0.092618407,0.057803809,0.000361715,-0.006126443,non-legume
51,82,12.17916679,1154,1.0959,0.8,32.16666667,25.16666667,33.7,14.11222781,6.5,0.653862834,145.3399963,1.946324825,paddy,50,1,2,1,1,1,1,2,158,20,0.040069026,0.085858053,0.222490605,0.257740071,-0.036079028,-0.011738655,0.087919322,-0.092618407,0.057803809,0.000361715,0.002845155,non-legume
52,82,12.17916679,1154,1.0959,0.8,32.16666667,25.16666667,33.7,14.11222781,6.5,0.653862834,145.3399963,1.946324825,paddy,50,1,2,1,2,1,1,2,158,20,0.04473825,0.112666178,0.059645124,0.263398851,-0.012630337,0.010637647,0.087919322,-0.092618407,0.057803809,0.000361715,-0.006325343,non-legume
53,82,12.17916679,1154,1.0959,0.8,32.16666667,25.16666667,33.7,14.11222781,6.5,0.653862834,145.3399963,1.946324825,paddy,50,1,2,1,1,1,1,3,157,20,-0.04390141,0.0904487,0.185702685,0.233558075,0.041038701,-0.023987457,0.087919322,-0.092618407,0.057803809,0.000361715,0.003860292,non-legume
54,82,12.17916679,1154,1.0959,0.8,32.16666667,25.16666667,33.7,14.11222781,6.5,0.653862834,145.3399963,1.946324825,paddy,50,1,2,1,2,1,1,3,157,20,-0.054840874,0.118635532,0.02312264,0.240377485,0.066429418,-0.006297055,0.087919322,-0.092618407,0.057803809,0.000361715,-0.005310206,non-legume
55,82,12.17916679,1154,1.0959,0.8,32.16666667,25.16666667,33.7,14.11222781,6.5,0.653862834,145.3399963,1.946324825,paddy,50,1,2,1,1,1,1,4,157,20,-0.016554457,0.090941905,0.172817877,0.233626968,0.042085503,-0.013846308,0.087919322,-0.092618407,0.057803809,0.000361715,0.004676528,non-legume
56,82,12.17916679,1154,1.0959,0.8,32.16666667,25.16666667,33.7,14.11222781,6.5,0.653862834,145.3399963,1.946324825,paddy,50,1,2,1,2,1,1,4,157,20,-0.045350852,0.11967254,0.013742847,0.241605204,0.067314335,-0.002302765,0.087919322,-0.092618407,0.057803809,0.000361715,-0.004493969,legume
57,82,12.17916679,1154,1.0959,0.8,32.16666667,25.16666667,33.7,14.11222781,6.5,0.653862834,145.3399963,1.946324825,paddy,50,1,2,1,1,1,1,5,157,20,-0.075322953,0.100779717,0.124987549,0.2281879,0.04393574,-0.026080132,0.087919322,-0.092618407,0.057803809,0.000361715,0.005492765,non-legume
58,82,12.17916679,1154,1.0959,0.8,32.16666667,25.16666667,33.7,14.11222781,6.5,0.653862834,145.3399963,1.946324825,paddy,50,1,2,1,2,1,1,5,157,20,-0.055954991,0.131382762,-0.043638872,0.237060752,0.068342152,0.002493663,0.087919322,-0.092618407,0.057803809,0.000361715,-0.003677733,non-legume
59,28,17.05,1475,1.1766,1.09,14.75,36,13.3,9.109589041,5.4,0.459406704,70.47419739,2.852268696,paddy,398.1,1,1,3,2,1,1,11,172,21,0.043890275,0.10489856,0.691027055,0.61230541,0.166988399,-0.062321026,0.094205633,-0.13018117,0.041340528,-0.012091587,-0.001700566,non-legume
60,28,17.05,1475,1.1766,1.09,14.75,36,13.3,9.109589041,5.4,0.459406704,70.47419739,2.852268696,paddy,277.7,1,1,3,1,1,1,11,172,21,0.055627285,0.116751971,0.766137815,0.540955339,0.165469933,-0.048314704,0.094205633,-0.13018117,0.041340528,-0.003116611,0.007469932,non-legume
61,28,17.05,1475,1.1766,1.09,14.75,36,13.3,9.109589041,5.4,0.459406704,70.47419739,2.852268696,paddy,397.7,1,1,3,2,1,1,11,122,1,0.030434115,0.14512143,0.674772467,0.551504883,0.174174103,-0.041891169,0.094205633,-0.13018117,0.041340528,-0.01206177,0.006979548,non-legume
62,28,17.05,1475,1.1766,1.09,14.75,36,13.3,9.109589041,5.4,0.459406704,70.47419739,2.852268696,paddy,332.9,1,1,3,2,1,1,11,183,1,0.047517971,0.088559686,0.659780536,0.564024345,0.164375236,-0.058137873,0.094205633,-0.13018117,0.041340528,-0.007231384,-0.005153341,non-legume
63,28,17.05,1475,1.1766,1.132,14.25,36,13.3,9.109589041,5.4,0.459406704,70.47419739,2.852268696,paddy,398.1,1,1,3,2,1,1,11,172,21,0.043199112,0.124122216,0.703316314,0.615703346,0.163579089,-0.057384443,0.094205633,-0.132868551,0.041340528,-0.012091587,-0.001700566,legume
64,28,17.05,1475,1.1766,1.132,14.25,36,13.3,9.109589041,5.4,0.459406704,70.47419739,2.852268696,paddy,277.7,1,1,3,1,1,1,11,172,21,0.054170628,0.137324887,0.781051738,0.536936816,0.162527741,-0.042165589,0.094205633,-0.132868551,0.041340528,-0.003116611,0.007469932,non-legume
65,28,17.05,1475,1.1766,1.132,14.25,36,13.3,9.109589041,5.4,0.459406704,70.47419739,2.852268696,paddy,397.7,1,1,3,2,1,1,11,122,1,0.029753689,0.168635566,0.68661219,0.552342999,0.171302266,-0.034976729,0.094205633,-0.132868551,0.041340528,-0.01206177,0.006979548,non-legume
66,28,17.05,1475,1.1766,1.132,14.25,36,13.3,9.109589041,5.4,0.459406704,70.47419739,2.852268696,paddy,332.9,1,1,3,2,1,1,11,183,1,0.046445075,0.110958259,0.671190579,0.56486474,0.162288449,-0.051637051,0.094205633,-0.132868551,0.041340528,-0.007231384,-0.005153341,non-legume
67,28,17.05,1475,1.1766,1.127,14,36,13.3,9.109589041,5.4,0.459406704,70.47419739,2.852268696,paddy,398.1,1,1,3,2,1,1,11,172,21,0.043477152,0.068730493,0.703475846,0.615580621,0.16383386,-0.076758706,0.094205633,-0.132696693,0.041340528,-0.012091587,-0.001700566,non-legume
68,28,17.05,1475,1.1766,1.127,14,36,13.3,9.109589041,5.4,0.459406704,70.47419739,2.852268696,paddy,277.7,1,1,3,1,1,1,11,172,21,0.054472271,0.07023338,0.781202767,0.536873807,0.162692964,-0.065669343,0.094205633,-0.132696693,0.041340528,-0.003116611,0.007469932,non-legume
69,28,17.05,1475,1.1766,1.127,14,36,13.3,9.109589041,5.4,0.459406704,70.47419739,2.852268696,paddy,397.7,1,1,3,2,1,1,11,122,1,0.029854758,0.117683503,0.686827508,0.552732998,0.171479166,-0.052934331,0.094205633,-0.132696693,0.041340528,-0.01206177,0.006979548,non-legume
70,28,17.05,1475,1.1766,1.127,14,36,13.3,9.109589041,5.4,0.459406704,70.47419739,2.852268696,paddy,332.9,1,1,3,2,1,1,11,183,1,0.046535894,0.062166714,0.671466969,0.565226146,0.162453347,-0.068838062,0.094205633,-0.132696693,0.041340528,-0.007231384,-0.005153341,legume
71,33,13.13333321,1389,1.1624,1.084,36.95833333,19.08333333,25.1,8.807017544,5.48,0.522622585,95.03320313,1.982795477,paddy,0,1,1,2,1,1,1,1,209,8,0.27399373,0.120527756,0.356955171,0.925738426,-0.075728312,-0.03289963,0.082118879,-0.094168152,0.043429896,0.017845402,-0.008873899,non-legume
72,33,13.13333321,1389,1.1624,1.084,36.95833333,19.08333333,25.1,8.807017544,5.48,0.522622585,95.03320313,1.982795477,paddy,0,1,1,2,1,1,1,1,209,8,0.27399373,0.120527756,0.356955171,0.925738426,-0.075728312,-0.03289963,0.082118879,-0.094168152,0.043429896,0.017845402,-0.008873899,non-legume
73,33,13.13333321,1389,1.1624,1.084,36.95833333,19.08333333,25.1,8.807017544,5.48,0.522622585,95.03320313,1.982795477,paddy,0,1,1,2,1,1,1,1,209,8,0.27399373,0.120527756,0.356955171,0.925738426,-0.075728312,-0.03289963,0.082118879,-0.094168152,0.043429896,0.017845402,-0.008873899,non-legume
74,33,13.13333321,1389,1.1624,1.084,36.95833333,19.08333333,25.1,8.807017544,5.48,0.522622585,95.03320313,1.982795477,paddy,0,1,1,2,1,1,1,1,209,8,0.27399373,0.120527756,0.356955171,0.925738426,-0.075728312,-0.03289963,0.082118879,-0.094168152,0.043429896,0.017845402,-0.008873899,non-legume
75,33,13.13333321,1389,1.1624,1.084,36.95833333,19.08333333,25.1,8.807017544,5.48,0.522622585,95.03320313,1.982795477,paddy,0,1,1,2,1,1,1,1,209,8,0.27399373,0.120527756,0.356955171,0.925738426,-0.075728312,-0.03289963,0.082118879,-0.094168152,0.043429896,0.017845402,-0.008873899,non-legume
76,33,13.13333321,1389,1.1624,1.084,36.95833333,19.08333333,25.1,8.807017544,5.48,0.522622585,95.03320313,1.982795477,paddy,0,1,1,2,1,1,1,1,209,8,0.27399373,0.120527756,0.356955171,0.925738426,-0.075728312,-0.03289963,0.082118879,-0.094168152,0.043429896,0.017845402,-0.008873899,non-legume
77,100,14.14583302,1353,1.1948,1.094,40.5,19.875,32.52821346,15.34349691,6.34,0.575738311,166.7779999,1.267133117,paddy,0,1,2,1,1,1,1,5,212,20,-0.048094049,0.0717044,0.143092475,0.123065214,-0.006598735,-0.018208702,0.092645206,-0.092198819,0.057934013,0.004088864,-0.005446725,legume
78,100,14.14583302,1353,1.1948,1.094,40.5,19.875,32.52821346,15.34349691,6.34,0.575738311,166.7779999,1.267133117,paddy,0,1,2,1,2,1,1,5,212,20,-0.028795539,0.076443142,-0.097499162,0.095951957,0.009363571,0.009941668,0.092645206,-0.092198819,0.057934013,0.004088864,-0.014617223,legume
79,103,17.45,1624,1.1643,1.13,25.095,29.69166667,17.09976798,7.88007741,5.59,0.464595079,53.0304985,2.6094594,paddy,0,1,1,2,1,1,1,1,199,16,0.097349306,0.081278309,0.470276344,0.354512609,-0.021130964,-0.021774458,0.083685183,-0.119204276,0.035701646,0.017845402,-0.00637895,legume
80,103,17.45,1624,1.1643,1.13,25.095,29.69166667,17.09976798,7.88007741,5.59,0.464595079,53.0304985,2.6094594,paddy,45,1,1,2,1,1,1,1,199,16,0.075324363,0.052171965,0.376615426,0.332453825,-0.021639111,-0.030559615,0.083685183,-0.119204276,0.035701646,0.014490968,-0.00637895,legume
81,103,17.45,1624,1.1643,1.13,25.095,29.69166667,17.09976798,7.88007741,5.59,0.464595079,53.0304985,2.6094594,paddy,90,1,1,2,1,1,1,1,199,16,0.067406462,0.036799968,0.370363144,0.334502037,-0.018961402,-0.038248807,0.083685183,-0.119204276,0.035701646,0.011136533,-0.00637895,non-legume
82,103,17.45,1624,1.1643,1.13,25.095,29.69166667,17.09976798,7.88007741,5.59,0.464595079,53.0304985,2.6094594,paddy,150,1,1,2,1,1,1,1,199,16,0.061657699,0.027826768,0.375015059,0.335502551,-0.018885597,-0.043737706,0.083685183,-0.119204276,0.035701646,0.006663953,-0.00637895,non-legume
83,103,17.45,1624,1.1643,1.13,25.095,29.69166667,17.09976798,7.88007741,5.59,0.464595079,53.0304985,2.6094594,paddy,0,1,1,2,1,1,1,1,199,16,0.097349306,0.081278309,0.470276344,0.354512609,-0.021130964,-0.021774458,0.083685183,-0.119204276,0.035701646,0.017845402,-0.00637895,non-legume
84,103,17.45,1624,1.1643,1.13,25.095,29.69166667,17.09976798,7.88007741,5.59,0.464595079,53.0304985,2.6094594,paddy,45,1,1,2,1,1,1,1,199,16,0.075324363,0.052171965,0.376615426,0.332453825,-0.021639111,-0.030559615,0.083685183,-0.119204276,0.035701646,0.014490968,-0.00637895,legume
85,103,17.45,1624,1.1643,1.13,25.095,29.69166667,17.09976798,7.88007741,5.59,0.464595079,53.0304985,2.6094594,paddy,90,1,1,2,1,1,1,1,199,16,0.067406462,0.036799968,0.370363144,0.334502037,-0.018961402,-0.038248807,0.083685183,-0.119204276,0.035701646,0.011136533,-0.00637895,legume
86,103,17.45,1624,1.1643,1.13,25.095,29.69166667,17.09976798,7.88007741,5.59,0.464595079,53.0304985,2.6094594,paddy,150,1,1,2,1,1,1,1,199,16,0.061657699,0.027826768,0.375015059,0.335502551,-0.018885597,-0.043737706,0.083685183,-0.119204276,0.035701646,0.006663953,-0.00637895,non-legume
