"","study","MAT","MAP","AI","BD","sand","clay","SOC","CN","pH","soil.biodiversity","MBC","FBratio","cropland.type","Nrate","OF2","tillage","irrigation","type","application","richness","duration","cover.days","terminate.time","yield","SOCrr","N2O","CH4","MWD","AMS","climate","soil","microbe","agriculture","CC"
"11","1",12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,"upland",0,1,2,1,3,2,3,13,92,122,-0.0251976705819724,0.02724402567715,0.501928208796631,0.225348148863486,0.168647923451224,0.30083106792797,0.00878424514359369,-0.540142366137775,0.0523394506971996,-0.064973696767858,0.128302692501099
"12","1",12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,"upland",0,1,2,1,3,3,3,13,92,122,-0.0276622598096787,0.0299795313317422,0.519621491915292,0.225348148863486,0.149281140730211,0.259724007916075,0.00878424514359369,-0.540142366137775,0.0523394506971996,-0.064973696767858,0.15048283108758
"13","1",12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,"upland",0,1,2,1,3,2,6,13,92,122,-0.0328454958113702,0.0302737837598102,0.504974052223168,0.237373368837504,0.0967004940336358,0.149809617118777,0.00878424514359369,-0.540142366137775,0.0523394506971996,-0.064973696767858,0.131680611617572
"14","1",12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,"upland",0,1,2,1,3,3,6,13,92,122,-0.0367350847797039,0.0334336200604707,0.522708705913646,0.237373368837504,0.0905178136540526,0.135045552383987,0.00878424514359369,-0.540142366137775,0.0523394506971996,-0.064973696767858,0.153860750204053
"15","1",12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,"upland",0,1,2,1,1,3,1,13,131,83,-0.0305209329056343,0.0407962332620693,0.493255717726871,0.237435586614097,0.0982943203460259,0.156911122986992,0.00878424514359369,-0.540142366137775,0.0523394506971996,-0.064973696767858,0.178385537182729
"16","1",12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,"upland",0,1,2,1,2,2,1,13,92,122,-0.0139542710160366,0.0330088141228445,0.414114989598564,0.233466926551279,0.197260674781386,0.369835429875589,0.00878424514359369,-0.540142366137775,0.0523394506971996,-0.064973696767858,0.141326739463308
"17","1",12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,"upland",0,1,2,1,2,3,1,13,92,122,-0.0152006062522201,0.0351438478623141,0.437202911374314,0.233466926551279,0.149878368564409,0.271660820539438,0.00878424514359369,-0.540142366137775,0.0523394506971996,-0.064973696767858,0.163506878049788
"18","1",12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,"upland",0,1,2,1,3,2,3,13,92,122,-0.0251976705819724,0.02724402567715,0.501928208796631,0.225348148863486,0.168647923451224,0.30083106792797,0.00878424514359369,-0.540142366137775,0.0523394506971996,-0.064973696767858,0.128302692501099
"19","1",12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,"upland",0,1,2,1,3,3,3,13,92,122,-0.0276622598096787,0.0299795313317422,0.519621491915292,0.225348148863486,0.149281140730211,0.259724007916075,0.00878424514359369,-0.540142366137775,0.0523394506971996,-0.064973696767858,0.15048283108758
"20","1",12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,"upland",0,1,2,1,3,2,6,13,92,122,-0.0328454958113702,0.0302737837598102,0.504974052223168,0.237373368837504,0.0967004940336358,0.149809617118777,0.00878424514359369,-0.540142366137775,0.0523394506971996,-0.064973696767858,0.131680611617572
"21","1",12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,"upland",0,1,2,1,3,3,6,13,92,122,-0.0367350847797039,0.0334336200604707,0.522708705913646,0.237373368837504,0.0905178136540526,0.135045552383987,0.00878424514359369,-0.540142366137775,0.0523394506971996,-0.064973696767858,0.153860750204053
"22","3",14.55,453.5,0.2082,1.2,43.7,34.8,8.41067285,8.056200048,8,0.477317125,128.2330017,3.797372341,"upland",70,1,2,2,1,2,1,4,89,155,-0.0935938052338879,-0.0206160571471931,0.469648625540455,0.176620790369293,0.139146116416912,0.201753043931284,0.00646083586088605,-0.645099843697193,0.0511529393098874,-0.114675463041314,0.117842272895108
"23","3",14.55,453.5,0.2082,1.2,43.7,34.8,8.41067285,8.056200048,8,0.477317125,128.2330017,3.797372341,"upland",70,1,2,2,2,2,1,4,89,155,-0.10802452500477,-0.030663620635254,0.434611321522112,0.187301586567398,0.146794900612436,0.209437147767697,0.00646083586088605,-0.645099843697193,0.0511529393098874,-0.114675463041314,0.102566279855251
"24","3",14.55,453.5,0.2082,1.2,43.7,34.8,8.41067285,8.056200048,8,0.477317125,128.2330017,3.797372341,"upland",70,1,2,2,2,2,1,4,89,155,-0.10802452500477,-0.030663620635254,0.434611321522112,0.187301586567398,0.146794900612436,0.209437147767697,0.00646083586088605,-0.645099843697193,0.0511529393098874,-0.114675463041314,0.102566279855251
"25","3",14.55,453.5,0.2082,1.2,43.7,34.8,8.41067285,8.056200048,8,0.477317125,128.2330017,3.797372341,"upland",70,1,2,2,3,2,2,4,89,155,-0.0782219650247118,-0.0188205837588289,0.475663271808837,0.191917152342819,0.140274032252072,0.210768643596512,0.00646083586088605,-0.645099843697193,0.0511529393098874,-0.114675463041314,0.0884162598542184
"26","3",14.55,453.5,0.2082,1.2,43.7,34.8,8.41067285,8.056200048,8,0.477317125,128.2330017,3.797372341,"upland",70,1,2,2,3,2,2,4,89,155,-0.0782219650247118,-0.0188205837588289,0.475663271808837,0.191917152342819,0.140274032252072,0.210768643596512,0.00646083586088605,-0.645099843697193,0.0511529393098874,-0.114675463041314,0.0884162598542184
"27","3",14.55,453.5,0.2082,1.2,43.7,34.8,8.41067285,8.056200048,8,0.477317125,128.2330017,3.797372341,"upland",70,1,2,2,3,2,3,4,89,155,-0.085421150898945,-0.0182839999384617,0.486265085371547,0.193194451070116,0.139872326245981,0.205955472032424,0.00646083586088605,-0.645099843697193,0.0511529393098874,-0.114675463041314,0.0895422328930428
"28","3",14.55,453.5,0.2082,1.2,43.7,34.8,8.41067285,8.056200048,8,0.477317125,128.2330017,3.797372341,"upland",70,1,2,2,3,2,6,4,89,155,-0.0771390101937867,-0.0167784841563038,0.497586860883117,0.20291725811931,0.118403122885911,0.165309279980678,0.00646083586088605,-0.645099843697193,0.0511529393098874,-0.114675463041314,0.0929201520095158
"29","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,1,1,2,90,178,0.0419978573331679,0.0385323023822043,0.463826922367615,0.283712437101585,0.160133241025598,0.317087426608352,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0765582016874526
"30","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,1,1,2,90,178,0.0419978573331679,0.0385323023822043,0.463826922367615,0.283712437101585,0.160133241025598,0.317087426608352,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0765582016874526
"31","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,1,1,1,2,90,178,0.0327828407154699,0.0362318884672851,0.462503968763213,0.283934179604866,0.159181574076958,0.310234805011642,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0918341947273097
"32","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,1,1,2,90,178,0.0419978573331679,0.0385323023822043,0.463826922367615,0.283712437101585,0.160133241025598,0.317087426608352,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0765582016874526
"33","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,1,1,2,90,178,0.0419978573331679,0.0385323023822043,0.463826922367615,0.283712437101585,0.160133241025598,0.317087426608352,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0765582016874526
"34","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,1,1,2,90,178,0.0419978573331679,0.0385323023822043,0.463826922367615,0.283712437101585,0.160133241025598,0.317087426608352,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0765582016874526
"35","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,1,1,2,90,178,0.0419978573331679,0.0385323023822043,0.463826922367615,0.283712437101585,0.160133241025598,0.317087426608352,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0765582016874526
"36","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,1,1,2,90,178,0.0419978573331679,0.0385323023822043,0.463826922367615,0.283712437101585,0.160133241025598,0.317087426608352,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0765582016874526
"37","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,1,1,2,90,178,0.0419978573331679,0.0385323023822043,0.463826922367615,0.283712437101585,0.160133241025598,0.317087426608352,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0765582016874526
"38","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,1,1,1,2,90,178,0.0327828407154699,0.0362318884672851,0.462503968763213,0.283934179604866,0.159181574076958,0.310234805011642,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0918341947273097
"39","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,1,1,2,90,178,0.0419978573331679,0.0385323023822043,0.463826922367615,0.283712437101585,0.160133241025598,0.317087426608352,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0765582016874526
"40","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,1,1,2,90,178,0.0419978573331679,0.0385323023822043,0.463826922367615,0.283712437101585,0.160133241025598,0.317087426608352,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0765582016874526
"41","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,1,1,2,90,178,0.0419978573331679,0.0385323023822043,0.463826922367615,0.283712437101585,0.160133241025598,0.317087426608352,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0765582016874526
"42","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,1,1,2,90,178,0.0419978573331679,0.0385323023822043,0.463826922367615,0.283712437101585,0.160133241025598,0.317087426608352,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0765582016874526
"43","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,2,1,2,90,178,0.0582972651222908,0.0421179686516157,0.433054575139245,0.303496116520764,0.200927014990117,0.409566387168113,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0987383402739332
"44","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,2,1,2,90,178,0.0582972651222908,0.0421179686516157,0.433054575139245,0.303496116520764,0.200927014990117,0.409566387168113,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0987383402739332
"45","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,1,2,1,2,90,178,0.035823225621193,0.0398181335514217,0.438873222814413,0.2968776019864,0.20011419121206,0.396565438718793,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.11401433331379
"46","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,2,1,2,90,178,0.0582972651222908,0.0421179686516157,0.433054575139245,0.303496116520764,0.200927014990117,0.409566387168113,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0987383402739332
"47","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,2,1,2,90,178,0.0582972651222908,0.0421179686516157,0.433054575139245,0.303496116520764,0.200927014990117,0.409566387168113,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0987383402739332
"48","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,2,1,2,90,178,0.0582972651222908,0.0421179686516157,0.433054575139245,0.303496116520764,0.200927014990117,0.409566387168113,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0987383402739332
"49","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,2,1,2,90,178,0.0582972651222908,0.0421179686516157,0.433054575139245,0.303496116520764,0.200927014990117,0.409566387168113,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0987383402739332
"50","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,1,1,2,90,178,0.0419978573331679,0.0385323023822043,0.463826922367615,0.283712437101585,0.160133241025598,0.317087426608352,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0765582016874526
"51","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,1,1,2,90,178,0.0419978573331679,0.0385323023822043,0.463826922367615,0.283712437101585,0.160133241025598,0.317087426608352,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0765582016874526
"52","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,1,1,1,2,90,178,0.0327828407154699,0.0362318884672851,0.462503968763213,0.283934179604866,0.159181574076958,0.310234805011642,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0918341947273097
"53","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,1,1,2,90,178,0.0419978573331679,0.0385323023822043,0.463826922367615,0.283712437101585,0.160133241025598,0.317087426608352,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0765582016874526
"54","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,1,1,2,90,178,0.0419978573331679,0.0385323023822043,0.463826922367615,0.283712437101585,0.160133241025598,0.317087426608352,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0765582016874526
"55","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,1,1,2,90,178,0.0419978573331679,0.0385323023822043,0.463826922367615,0.283712437101585,0.160133241025598,0.317087426608352,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0765582016874526
"56","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,1,1,2,90,178,0.0419978573331679,0.0385323023822043,0.463826922367615,0.283712437101585,0.160133241025598,0.317087426608352,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0765582016874526
"57","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,2,1,2,90,178,0.0582972651222908,0.0421179686516157,0.433054575139245,0.303496116520764,0.200927014990117,0.409566387168113,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0987383402739332
"58","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,2,1,2,90,178,0.0582972651222908,0.0421179686516157,0.433054575139245,0.303496116520764,0.200927014990117,0.409566387168113,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0987383402739332
"59","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,1,2,1,2,90,178,0.035823225621193,0.0398181335514217,0.438873222814413,0.2968776019864,0.20011419121206,0.396565438718793,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.11401433331379
"60","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,2,1,2,90,178,0.0582972651222908,0.0421179686516157,0.433054575139245,0.303496116520764,0.200927014990117,0.409566387168113,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0987383402739332
"61","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,2,1,2,90,178,0.0582972651222908,0.0421179686516157,0.433054575139245,0.303496116520764,0.200927014990117,0.409566387168113,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0987383402739332
"62","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,2,1,2,90,178,0.0582972651222908,0.0421179686516157,0.433054575139245,0.303496116520764,0.200927014990117,0.409566387168113,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0987383402739332
"63","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,2,1,2,90,178,0.0582972651222908,0.0421179686516157,0.433054575139245,0.303496116520764,0.200927014990117,0.409566387168113,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0987383402739332
"64","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,2,1,2,90,178,0.0582972651222908,0.0421179686516157,0.433054575139245,0.303496116520764,0.200927014990117,0.409566387168113,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0987383402739332
"65","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,2,1,2,90,178,0.0582972651222908,0.0421179686516157,0.433054575139245,0.303496116520764,0.200927014990117,0.409566387168113,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0987383402739332
"66","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,1,2,1,2,90,178,0.035823225621193,0.0398181335514217,0.438873222814413,0.2968776019864,0.20011419121206,0.396565438718793,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.11401433331379
"67","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,2,1,2,90,178,0.0582972651222908,0.0421179686516157,0.433054575139245,0.303496116520764,0.200927014990117,0.409566387168113,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0987383402739332
"68","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,2,1,2,90,178,0.0582972651222908,0.0421179686516157,0.433054575139245,0.303496116520764,0.200927014990117,0.409566387168113,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0987383402739332
"69","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,2,1,2,90,178,0.0582972651222908,0.0421179686516157,0.433054575139245,0.303496116520764,0.200927014990117,0.409566387168113,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0987383402739332
"70","4",7.75,513,0.6039,1.414,54,13.04166667,16.08315545,12.5649652,5.83,0.364899516,96.88999939,2.812710285,"upland",150,1,1,1,2,2,1,2,90,178,0.0582972651222908,0.0421179686516157,0.433054575139245,0.303496116520764,0.200927014990117,0.409566387168113,-0.0494720581335543,-0.525570078777578,0.0374098126155201,-0.0460857390979107,0.0987383402739332
"71","5",15.6,1362.5,0.9295,1.334,19.29166667,15.58333333,18.76879071,14.24035714,6.55,0.546369612,69.91750336,2.545997381,"upland",33.6,1,2,1,2,2,1,36,217,1,-0.0123809211329129,0.0803486940598495,0.0439243788099762,0.248180547820486,0.114339875881694,0.228045852155513,0.0229395245334721,-0.44737233217094,0.0219290178311638,-0.058849906735006,0.261535833929068
"72","5",15.6,1362.5,0.9295,1.288,18.375,19.75,17.53257541,13.67595586,6.772,0.546369612,69.91750336,2.545997381,"upland",33.6,1,2,1,2,2,1,36,217,1,-0.0165930918200985,0.079647441826326,0.057189101628339,0.253454617056228,0.108587981826968,0.213145690104313,0.0229395245334721,-0.465444629508376,0.0219290178311638,-0.058849906735006,0.261535833929068
"73","6",14.4,873.5,0.4842,1.404,34.625,23.75,10.60511988,11.61152904,7.45,0.428029597,114.3580017,2.608719349,"upland",50,1,2,1,1,2,1,15,106,259,0.0547635288305936,0.156760459073128,0.320207238437427,0.253150442687396,0.4819042682511,1.01391498954525,0.0276914530909444,-0.544542093932249,0.0314056031297269,-0.0558609139808759,0.208764387572809
"74","6",14.4,873.5,0.4842,1.404,34.625,23.75,10.60511988,11.61152904,7.45,0.428029597,114.3580017,2.608719349,"upland",50,1,2,1,1,2,1,15,106,259,0.0547635288305936,0.156760459073128,0.320207238437427,0.253150442687396,0.4819042682511,1.01391498954525,0.0276914530909444,-0.544542093932249,0.0314056031297269,-0.0558609139808759,0.208764387572809
